,attribute,value
0,Beta (5Y Monthly),1.37
1,52-Week Change 3,55.73%
2,S&P500 52-Week Change 3,43.61%
3,52 Week High 3,401.81
4,52 Week Low 3,150.75
5,50-Day Moving Average 3,291.21
6,200-Day Moving Average 3,283.76
7,Avg Vol (3 month) 3,120.78k
8,Avg Vol (10 day) 3,102.7k
9,Shares Outstanding 5,62.81M
10,Implied Shares Outstanding 6,
11,Float,6.52M
12,% Held by Insiders 1,89.62%
13,% Held by Institutions 1,7.63%
14,"Shares Short (Apr 29, 2021) 4",502.58k
15,"Short Ratio (Apr 29, 2021) 4",3.36
16,"Short % of Float (Apr 29, 2021) 4",7.70%
17,"Short % of Shares Outstanding (Apr 29, 2021) 4",0.80%
18,"Shares Short (prior month Mar 30, 2021) 4",485.63k
19,Forward Annual Dividend Rate 4,1.6
20,Forward Annual Dividend Yield 4,0.59%
21,Trailing Annual Dividend Rate 3,1.10
22,Trailing Annual Dividend Yield 3,0.41%
23,5 Year Average Dividend Yield 4,
24,Payout Ratio 4,17.10%
25,Dividend Date 3,"May 23, 2021"
26,Ex-Dividend Date 4,"May 13, 2021"
27,Last Split Factor 2,
28,Last Split Date 3,
29,Fiscal Year Ends,"Jun 29, 2020"
30,Most Recent Quarter (mrq),"Mar 30, 2021"
31,Profit Margin,31.97%
32,Operating Margin (ttm),39.05%
33,Return on Assets (ttm),55.98%
34,Return on Equity (ttm),
35,Revenue (ttm),1.74B
36,Revenue Per Share (ttm),27.45
37,Quarterly Revenue Growth (yoy),38.50%
38,Gross Profit (ttm),606.77M
39,EBITDA,688.78M
40,Net Income Avi to Common (ttm),554.87M
41,Diluted EPS (ttm),5.00
42,Quarterly Earnings Growth (yoy),40.80%
43,Total Cash (mrq),263.8M
44,Total Cash Per Share (mrq),4.2
45,Total Debt (mrq),612.07M
46,Total Debt/Equity (mrq),
47,Current Ratio (mrq),2.71
48,Book Value Per Share (mrq),-4.50
49,Operating Cash Flow (ttm),572.73M
50,Levered Free Cash Flow (ttm),457.15M
